who is the author of the book , `` the iron lady : a biography of margaret thatcher '' ?	HUM	(ROOT (SBARQ (WHNP (WP who)) (@SBARQ (SQ (VBZ is) (NP (NP (DT the) (NN author)) (PP (IN of) (NP (@NP (@NP (@NP (NP (DT the) (NN book)) (, ,)) (`` ``)) (NP (@NP (NP (DT the) (@NP (NN iron) (NN lady))) (: :)) (NP (NP (DT a) (NN biography)) (PP (IN of) (NP (NN margaret) (NN thatcher)))))) ('' ''))))) (. ?))))
0	0	horton said that hoover house , the residence of university president donald kennedy , is owned by the school and used regularly for campus activities .	(ROOT (S (NP (NN horton)) (@S (VP (VBD said) (SBAR (IN that) (S (NP (@NP (@NP (NP (NN hoover) (NN house)) (, ,)) (NP (NP (DT the) (NN residence)) (PP (IN of) (NP (NP (NN university) (NN president)) (VP (VBD donald) (NP (NNP kennedy))))))) (, ,)) (VP (VBZ is) (VP (@VP (VP (VBN owned) (PP (IN by) (NP (DT the) (NN school)))) (CC and)) (VP (@VP (VBN used) (ADVP (RB regularly))) (PP (IN for) (NP (NN campus) (NNS activities))))))))) (. .))))
0	0	stanford university officials proposed to ban alcohol consumption at all stanford athletic events .	(ROOT (S (NP (NN stanford) (@NP (NN university) (NNS officials))) (@S (VP (VBD proposed) (S (VP (TO to) (VP (@VP (VB ban) (NP (NN alcohol) (NN consumption))) (PP (IN at) (NP (DT all) (@NP (JJ stanford) (@NP (JJ athletic) (NNS events))))))))) (. .))))
0	0	stanford has been the only school in the pacific-10 athletic conference to allow spectators to bring alcohol inside a stadium .	(ROOT (S (NP (NN stanford)) (@S (VP (VBZ has) (VP (@VP (@VP (VBN been) (NP (DT the) (@NP (JJ only) (NN school)))) (PP (IN in) (NP (DT the) (@NP (NN pacific-10) (@NP (JJ athletic) (NN conference)))))) (S (VP (TO to) (VP (VB allow) (S (NP (NNS spectators)) (VP (TO to) (VP (VB bring) (NP (NP (NN alcohol)) (PP (IN inside) (NP (DT a) (NN stadium)))))))))))) (. .))))
0	0	three years ago , stanford banned hard liquor at games and limited each person over <num> to carrying in one six -pack of beer .	(ROOT (S (ADVP (NP (CD three) (NNS years)) (RB ago)) (@S (, ,) (@S (NP (NN stanford)) (@S (VP (@VP (@VP (VBD banned) (NP (JJ hard) (NN liquor))) (PP (IN at) (NP (@NP (@NP (NP (NNS games)) (CC and)) (JJ limited)) (NP (DT each) (NN person))))) (PP (IN over) (NP (@NP (NP (NP (NN <num>)) (PP (TO to) (S (VP (VBG carrying) (PP (IN in) (NP (CD one) (CD six))))))) (: -)) (NP (NP (NN pack)) (PP (IN of) (NP (NN beer))))))) (. .))))))
0	0	william chace , president of wesleyan university in middletown , conn. , sent students a letter about racial relations on campus and the film `` mississippi burning '' about the <num> murders of civil rights activists .	(ROOT (S (NP (@NP (@NP (NP (NN william) (NN chace)) (, ,)) (NP (NP (NN president)) (PP (IN of) (NP (NP (JJ wesleyan) (NN university)) (PP (IN in) (NP (@NP (NP (NN middletown)) (, ,)) (NP (NN conn.)))))))) (, ,)) (@S (VP (@VP (VBD sent) (NP (NNS students))) (NP (NP (DT a) (NN letter)) (PP (IN about) (NP (@NP (NP (NP (JJ racial) (NNS relations)) (PP (IN on) (NP (NN campus)))) (CC and)) (NP (NP (DT the) (@NP (NN film) (@NP (`` ``) (@NP (NN mississippi) (@NP (NN burning) ('' '')))))) (PP (IN about) (NP (NP (DT the) (@NP (NN <num>) (NNS murders))) (PP (IN of) (NP (JJ civil) (@NP (NNS rights) (NNS activists))))))))))) (. .))))
0	0	the posters , which bore telephone numbers for reporting incidents , were a way for the university to acknowledge that some people thought racism was a problem on campus , said patricia peterson , assistant vice president for campus life .	(ROOT (SINV (S (NP (@NP (@NP (NP (DT the) (NNS posters)) (, ,)) (SBAR (WHNP (WDT which)) (S (VP (@VP (VBD bore) (NP (NN telephone) (NNS numbers))) (PP (IN for) (S (VP (VBG reporting) (NP (NNS incidents))))))))) (, ,)) (VP (VBD were) (NP (NP (DT a) (NN way)) (PP (IN for) (NP (DT the) (@NP (NN university) (S (VP (TO to) (VP (VB acknowledge) (SBAR (IN that) (S (NP (DT some) (NNS people)) (VP (VBD thought) (SBAR (S (NP (NN racism)) (VP (VBD was) (NP (NP (DT a) (NN problem)) (PP (IN on) (NP (NN campus))))))))))))))))))) (@SINV (, ,) (@SINV (@SINV (VP (VBD said)) (NP (@NP (NP (NN patricia) (NN peterson)) (, ,)) (NP (NP (JJ assistant) (@NP (NN vice) (NN president))) (PP (IN for) (NP (NN campus) (NN life)))))) (. .)))))
0	0	`` right now -lrb- administrators -rrb- are doing surface changes , '' said yvette dudley , president of the naacp chapter at penn state .	(ROOT (SINV (`` ``) (@SINV (S (NP (NP (ADJP (ADVP (RB right) (RB now)) (JJ -lrb-)) (NNS administrators)) (ADJP (JJ -rrb-))) (VP (VBP are) (VP (VBG doing) (NP (NN surface) (NNS changes))))) (@SINV (, ,) (@SINV ('' '') (@SINV (@SINV (VP (VBD said)) (NP (@NP (NP (NNP yvette) (NNP dudley)) (, ,)) (NP (NP (NN president)) (PP (IN of) (NP (NP (DT the) (@NP (JJ naacp) (NN chapter))) (PP (IN at) (NP (JJ penn) (NN state)))))))) (. .)))))))
0	0	john raisian , acting director of the politically influential hoover institution think tank at stanford university since last september , has been given the job permanently , officials announced monday .	(ROOT (S (S (NP (@NP (@NP (NP (NN john) (JJ raisian)) (, ,)) (VP (VBG acting) (SBAR (S (NP (NP (NN director)) (PP (IN of) (NP (DT the) (@NP (ADJP (RB politically) (JJ influential)) (@NP (NN hoover) (NN institution)))))) (VP (@VP (VBP think) (NP (NN tank))) (PP (IN at) (NP (NP (NN stanford) (NN university)) (PP (IN since) (NP (JJ last) (NNP september)))))))))) (, ,)) (VP (VBZ has) (VP (VBN been) (VP (@VP (VBN given) (NP (DT the) (NN job))) (ADVP (RB permanently)))))) (@S (, ,) (@S (NP (NNS officials)) (@S (VP (VBD announced) (NP-TMP (NNP monday))) (. .))))))
0	0	several sources at stanford said the first choice to succeed campbell was michael boskin , the stanford economics professor who is chairman of president bush 's council of economic advisers .	(ROOT (SINV (S (NP (NP (JJ several) (NNS sources)) (PP (IN at) (NP (NN stanford)))) (VP (@VP (VBD said) (NP (DT the) (@NP (JJ first) (NN choice)))) (S (VP (TO to) (VP (VB succeed) (NP (NN campbell))))))) (@SINV (@SINV (VP (VBD was)) (NP (@NP (NP (JJ michael) (NN boskin)) (, ,)) (NP (NP (DT the) (@NP (NN stanford) (@NP (NNS economics) (NN professor)))) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (NP (NP (NN chairman)) (PP (IN of) (NP (NP (NP (NN president) (@NP (NN bush) (POS 's))) (NN council)) (PP (IN of) (NP (JJ economic) (NNS advisers)))))))))))) (. .))))
0	0	although campbell praised raisian 's appointment , john f. manley , a stanford political science professor and critic of hoover , said : `` a new director does n't change the old problem .	(ROOT (S (SBAR (IN although) (S (NP (NN campbell)) (VP (VBD praised) (NP (NP (NN raisian) (POS 's)) (NN appointment))))) (@S (, ,) (@S (NP (@NP (@NP (NP (NN john) (@NP (JJ f.) (NN manley))) (, ,)) (NP (NP (DT a) (@NP (JJ stanford) (@NP (JJ political) (@NP (NN science) (@NP (@NP (NN professor) (CC and)) (NN critic)))))) (PP (IN of) (NP (NN hoover))))) (, ,)) (@S (VP (@VP (@VP (VBD said) (: :)) (`` ``)) (S (NP (DT a) (@NP (JJ new) (NN director))) (VP (@VP (VBZ does) (RB n't)) (VP (VB change) (NP (DT the) (@NP (JJ old) (NN problem))))))) (. .))))))
0	0	soviet president mikhail s. gorbachev will not make a previously announced visit to the hoover institution during his trip to stanford university next week .	(ROOT (S (NP (NP (JJ soviet) (@NP (NN president) (NN mikhail))) (NP (JJ s.) (NN gorbachev))) (@S (VP (@VP (MD will) (RB not)) (VP (@VP (@VP (@VP (VB make) (NP (NP (DT a) (@NP (ADJP (RB previously) (VBN announced)) (NN visit))) (PP (TO to) (NP (DT the) (@NP (NN hoover) (NN institution)))))) (PP (IN during) (NP (PRP$ his) (NN trip)))) (PP (TO to) (NP (NN stanford) (NN university)))) (NP-TMP (JJ next) (NN week)))) (. .))))
0	0	soviet officials decided that gorbachev 's schedule during his june <num> and <num> visit to the bay area `` was just too tight , '' bob freelen , stanford vice president for public affairs , said monday .	(ROOT (S (S (NP (JJ soviet) (NNS officials)) (VP (VBD decided) (SBAR (IN that) (S (NP (NP (NP (NN gorbachev) (POS 's)) (NN schedule)) (PP (IN during) (NP (NP (PRP$ his) (@NP (NNP june) (@NP (NN <num>) (@NP (CC and) (@NP (JJ <num>) (NN visit)))))) (PP (TO to) (NP (DT the) (@NP (NN bay) (NN area))))))) (@S (`` ``) (VP (@VP (VBD was) (ADVP (RB just))) (ADJP (RB too) (JJ tight)))))))) (@S (, ,) (@S ('' '') (@S (NP (@NP (@NP (NP (NN bob) (JJ freelen)) (, ,)) (NP (NP (JJ stanford) (@NP (NN vice) (NN president))) (PP (IN for) (NP (JJ public) (NNS affairs))))) (, ,)) (@S (VP (VBD said) (NP-TMP (NNP monday))) (. .)))))))
0	0	on the high-society block where soviet president mikhail s. gorbachev and his wife , raisa , will sleep tonight , the neighbors and their help know all about the demands of security .	(ROOT (S (PP (IN on) (NP (NP (DT the) (@NP (NN high-society) (NN block))) (SBAR (WHNP (@WHNP (WHADVP (WRB where)) (JJ soviet)) (NN president)) (S (NP (@NP (NP (NN mikhail) (@NP (JJ s.) (NN gorbachev))) (CC and)) (NP (@NP (@NP (NP (PRP$ his) (NN wife)) (, ,)) (NP (NN raisa))) (, ,))) (VP (MD will) (VP (VB sleep) (NP (RB tonight)))))))) (@S (, ,) (@S (NP (@NP (NP (DT the) (NNS neighbors)) (CC and)) (NP (PRP$ their) (NN help))) (@S (VP (@VP (VB know) (NP (DT all))) (PP (IN about) (NP (NP (DT the) (NNS demands)) (PP (IN of) (NP (NN security)))))) (. .))))))
0	0	at stanford university , where gorbachev will speak monday , students are taking the metal detectors and other precautions in stride , so anxious are they to get a glimpse of the soviet leader and his wife .	(ROOT (S (PP (IN at) (NP (NN stanford) (NN university))) (@S (, ,) (@S (@S (@S (S (SBAR (WHADVP (WRB where)) (S (NP (NN gorbachev)) (VP (MD will) (VP (VB speak) (NP-TMP (NNP monday)))))) (@S (, ,) (@S (NP (NNS students)) (VP (VBP are) (VP (VBG taking) (NP (DT the) (@NP (NN metal) (NNS detectors)))))))) (CC and)) (S (NP (@NP (NP (NP (JJ other) (NNS precautions)) (PP (IN in) (NP (NN stride)))) (, ,)) (ADJP (RB so) (JJ anxious))) (VP (VBP are) (S (NP (PRP they)) (VP (TO to) (VP (VB get) (NP (NP (DT a) (NN glimpse)) (PP (IN of) (NP (@NP (NP (DT the) (@NP (JJ soviet) (NN leader))) (CC and)) (NP (PRP$ his) (NN wife))))))))))) (. .)))))
0	0	in addition to gorbachev , the secret service must protect former president ronald reagan , for instance , who will have breakfast with the soviet leader at the consul general 's home , and south korean president roh tae woo , who is scheduled to meet gorbachev on monday .	(ROOT (S (PP (IN in) (NP (NP (NN addition)) (PP (TO to) (NP (NN gorbachev))))) (@S (, ,) (@S (NP (DT the) (@NP (JJ secret) (NN service))) (@S (VP (MD must) (VP (VB protect) (NP (@NP (@NP (@NP (@NP (NP (JJ former) (@NP (NN president) (NN ronald))) (ADJP (JJ reagan))) (, ,)) (PP (IN for) (NP (@NP (NP (NN instance)) (, ,)) (SBAR (WHNP (WP who)) (S (VP (MD will) (VP (VB have) (S (NP (NP (NN breakfast)) (PP (IN with) (NP (NP (DT the) (@NP (JJ soviet) (NN leader))) (PP (IN at) (NP (NP (NP (DT the) (@NP (NN consul) (@NP (NN general) (POS 's)))) (NN home)) (PRN (, ,) (@PRN (CC and) (@PRN (ADVP (RB south)) (NP (JJ korean) (@NP (NN president) (@NP (NN roh) (NN tae)))))))))))) (VP (VB woo)))))))))) (, ,)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBN scheduled) (S (VP (TO to) (VP (@VP (VB meet) (NP (NN gorbachev))) (PP (IN on) (NP (NNP monday))))))))))))) (. .))))))
0	0	`` nobody identifies themselves as kgb , '' said robert freelen , stanford 's vice president for public affairs .	(ROOT (SINV (`` ``) (@SINV (S (NP (NN nobody)) (VP (@VP (VBZ identifies) (NP (PRP themselves))) (PP (IN as) (NP (NN kgb))))) (@SINV (, ,) (@SINV ('' '') (@SINV (@SINV (VP (VBD said) (NP (NN robert))) (NP (@NP (NP (JJ freelen)) (, ,)) (NP (NP (NP (NN stanford) (POS 's)) (@NP (NN vice) (NN president))) (PP (IN for) (NP (JJ public) (NNS affairs)))))) (. .)))))))
0	0	the secret service and kgb will be assisted by agencies ranging from the fbi to the california highway patrol as well as by police in san francisco , palo alto and stanford , and security officers at the fairmont hotel in san francisco .	(ROOT (S (NP (@NP (NP (DT the) (@NP (JJ secret) (NN service))) (CC and)) (NP (NN kgb))) (@S (VP (MD will) (VP (VB be) (VP (VBN assisted) (PP (IN by) (NP (NP (NNS agencies)) (VP (@VP (VBG ranging) (PP (@PP (PP (IN from) (NP (NP (DT the) (NN fbi)) (PP (TO to) (NP (DT the) (@NP (NN california) (@NP (NN highway) (NN patrol))))))) (CONJP (RB as) (@CONJP (RB well) (IN as)))) (PP (IN by) (NP (NP (NN police)) (PP (IN in) (NP (@NP (@NP (@NP (@NP (NP (NN san) (NN francisco)) (, ,)) (NP (NN palo) (@NP (@NP (NN alto) (CC and)) (NN stanford)))) (, ,)) (CC and)) (NP (NN security) (NNS officers)))))))) (PP (IN at) (NP (NP (DT the) (@NP (JJ fairmont) (NN hotel))) (PP (IN in) (NP (NN san) (NN francisco))))))))))) (. .))))
0	0	after breakfast with the reagans , the gorbachevs will head to stanford , <num> miles south .	(ROOT (S (PP (IN after) (NP (NP (NN breakfast)) (PP (IN with) (NP (DT the) (NNS reagans))))) (@S (, ,) (@S (NP (DT the) (NNS gorbachevs)) (@S (VP (MD will) (VP (@VP (@VP (VB head) (PP (TO to) (NP (NN stanford)))) (, ,)) (ADVP (NP (JJ <num>) (NNS miles)) (RB south)))) (. .))))))
0	0	at stanford , officials issued tickets friday to several thousand students and staff members to see gorbachev arrive in the quadrangle monday morning .	(ROOT (S (PP (IN at) (NP (NN stanford))) (@S (, ,) (@S (NP (NNS officials)) (@S (VP (@VP (@VP (@VP (VBD issued) (NP (NNS tickets))) (NP-TMP (NNP friday))) (PP (TO to) (NP (QP (JJ several) (CD thousand)) (@NP (NNS students) (@NP (CC and) (@NP (NN staff) (NNS members))))))) (S (VP (TO to) (VP (@VP (VB see) (NP (NN gorbachev))) (VP (@VP (VB arrive) (PP (IN in) (NP (DT the) (NN quadrangle)))) (NP-TMP (NNP monday) (NN morning))))))) (. .))))))
0	0	the <num> people who will attend gorbachev 's speech at stanford 's memorial auditorium will have to pass through metal detectors .	(ROOT (S (NP (NP (DT the) (@NP (JJ <num>) (NNS people))) (SBAR (WHNP (WP who)) (S (VP (MD will) (VP (@VP (VB attend) (NP (NP (NN gorbachev) (POS 's)) (NN speech))) (PP (IN at) (NP (NP (NN stanford) (POS 's)) (@NP (NN memorial) (NN auditorium))))))))) (@S (VP (MD will) (VP (VB have) (S (VP (TO to) (VP (VB pass) (PP (IN through) (NP (NN metal) (NNS detectors)))))))) (. .))))
0	0	chp officers will ensure that the <num> - car motorcade travels bay area freeways swiftly between san francisco , stanford and san francisco airport .	(ROOT (S (NP (NN chp) (NNS officers)) (@S (VP (MD will) (VP (VB ensure) (SBAR (IN that) (S (NP (@NP (NP (DT the) (NN <num>)) (: -)) (NP (NN car) (NN motorcade))) (VP (@VP (VBZ travels) (NP (NN bay) (@NP (NN area) (NNS freeways)))) (PP (ADVP (RB swiftly)) (@PP (IN between) (NP (@NP (@NP (@NP (NP (JJ san) (NN francisco)) (, ,)) (NP (NN stanford))) (CC and)) (NP (NN san) (@NP (NN francisco) (NN airport))))))))))) (. .))))
0	0	here is monday 's itinerary for the visit by soviet president mikhail s. gorbachev and his wife , raisa , to san francisco and stanford university .	(ROOT (S (NP (RB here)) (@S (VP (@VP (@VP (VBZ is) (NP (NP (NP (NNP monday) (POS 's)) (NN itinerary)) (PP (IN for) (NP (NP (DT the) (NN visit)) (PP (IN by) (NP (@NP (NP (NP (JJ soviet) (@NP (NN president) (NN mikhail))) (NP (JJ s.) (NN gorbachev))) (CC and)) (NP (@NP (NP (PRP$ his) (NN wife)) (, ,)) (NP (NN raisa))))))))) (, ,)) (S (VP (TO to) (VP (VB san) (NP (NN francisco) (@NP (CC and) (@NP (NN stanford) (NN university)))))))) (. .))))
0	0	<num> a.m. -- former president ronald reagan and his wife , nancy , arrive at soviet consul general 's home , <num> broadway , to have breakfast with the gorbachevs .	(ROOT (S (NP (@NP (NP (NP (JJ <num>) (NN a.m.)) (PRN (: --) (S (NP (JJ former) (@NP (NN president) (NN ronald))) (ADJP (JJ reagan))))) (CC and)) (NP (@NP (@NP (NP (PRP$ his) (NN wife)) (, ,)) (NP (NN nancy))) (, ,))) (@S (VP (@VP (@VP (VBP arrive) (PP (IN at) (NP (NP (JJ soviet) (@NP (NN consul) (@NP (NN general) (POS 's)))) (@NP (NN home) (@NP (, ,) (@NP (NN <num>) (NN broadway))))))) (, ,)) (S (VP (TO to) (VP (VB have) (NP (NP (NN breakfast)) (PP (IN with) (NP (DT the) (NNS gorbachevs)))))))) (. .))))
0	0	<num> : <num> a.m. -- gorbachevs leave for stanford university .	(ROOT (S (NP (NNP <num>)) (@S (: :) (@S (S (VP (VB <num>) (ADVP (RB a.m.)))) (@S (: --) (@S (NP (NNS gorbachevs)) (@S (VP (VBP leave) (PP (IN for) (NP (NN stanford) (NN university)))) (. .))))))))
0	0	<num> : <num> a.m. -- gorbachevs tour stanford art museum and receive gifts of art to soviet people .	(ROOT (FRAG (NP (NNP <num>)) (@FRAG (: :) (@FRAG (S (VP (@VP (VP (VB <num>) (FRAG (X (ADVP (RB a.m.) (: --)) (NP (NNS gorbachevs))) (NP (NN tour) (@NP (NN stanford) (@NP (NN art) (NN museum)))))) (CC and)) (VP (@VP (VB receive) (NP (NP (NNS gifts)) (PP (IN of) (NP (NN art))))) (PP (TO to) (NP (JJ soviet) (NNS people)))))) (. .)))))
0	0	noon -- gorbachevs visit stanford business school and meet with students and faculty at littlefield center .	(ROOT (NP (@NP (@NP (NP (NN noon)) (: --)) (NP (NP (NNS gorbachevs) (@NP (NN visit) (NN stanford))) (UCP (@UCP (NP (NN business) (NN school)) (CC and)) (S (VP (@VP (VB meet) (PP (IN with) (NP (@NP (NNS students) (CC and)) (NN faculty)))) (PP (IN at) (NP (JJ littlefield) (NN center)))))))) (. .)))
0	0	<num> : <num> p.m. -- soviet president delivers address to students and faculty at memorial auditorium .	(ROOT (S (NP (NNP <num>)) (@S (: :) (@S (S (VP (VB <num>) (ADVP (RB p.m.)))) (@S (: --) (@S (NP (JJ soviet) (NN president)) (@S (VP (@VP (@VP (VBZ delivers) (NP (NN address))) (PP (TO to) (NP (@NP (NNS students) (CC and)) (NN faculty)))) (PP (IN at) (NP (NN memorial) (NN auditorium)))) (. .))))))))
0	0	<num> : <num> p.m. -- gorbachevs leave stanford to return to consul general 's home .	(ROOT (S (NP (NNP <num>)) (@S (: :) (@S (S (VP (VB <num>) (ADVP (RB p.m.)))) (@S (: --) (@S (NP (NNS gorbachevs)) (@S (VP (@VP (VBP leave) (NP (NN stanford))) (S (VP (TO to) (VP (VB return) (PP (TO to) (NP (NP (NN consul) (@NP (NN general) (POS 's))) (NN home))))))) (. .))))))))
0	0	<num> : <num> p.m. -- president gorbachev arrives at san francisco chamber of commerce luncheon at fairmont hotel .	(ROOT (S (NP (NNP <num>)) (@S (: :) (@S (S (VP (VB <num>) (ADVP (RB p.m.)))) (@S (: --) (@S (NP (NN president) (NN gorbachev)) (@S (VP (@VP (VBZ arrives) (PP (IN at) (NP (NP (NN san) (@NP (NN francisco) (NN chamber))) (PP (IN of) (NP (NN commerce) (NN luncheon)))))) (PP (IN at) (NP (JJ fairmont) (NN hotel)))) (. .))))))))
0	0	deukmejian and agnos make presentations honoring the soviet president .	(ROOT (S (NP (@NP (NN deukmejian) (CC and)) (NNS agnos)) (@S (VP (VBP make) (S (NP (NNS presentations)) (VP (VBG honoring) (NP (DT the) (@NP (JJ soviet) (NN president)))))) (. .))))
0	0	minnesotans offered other encouraging words on the placards they held along the motorcade route : `` go glasnost , '' `` president gorbachev , keep hope alive '' and `` we 're with you , gorby . ''	(ROOT (S (NP (NNS minnesotans)) (@S (@S (VP (@VP (@VP (@VP (VBD offered) (NP (JJ other) (@NP (JJ encouraging) (NNS words)))) (PP (IN on) (NP (NP (DT the) (NNS placards)) (SBAR (S (@S (@S (@S (S (NP (PRP they)) (VP (@VP (@VP (@VP (VBD held) (PP (IN along) (NP (DT the) (@NP (NN motorcade) (NN route))))) (: :)) (`` ``)) (S (S (VP (VB go) (NP (@NP (@NP (NP (FW glasnost)) (, ,)) ('' '')) (SBAR (S (NP (`` ``) (@NP (NN president) (@NP (NN gorbachev) (, ,)))) (VP (VB keep) (NP (NN hope)))))))) (ADJP (JJ alive))))) ('' '')) (CC and)) (`` ``)) (S (NP (PRP we)) (VP (VBP 're) (PP (IN with) (NP (PRP you)))))))))) (, ,)) (NP (NN gorby))) (. .)) ('' ''))))
0	0	portable highway signs that normally flash messages like `` traffic delay '' and `` construction next <num> miles `` were reprogrammed to display `` welcome president gorbachev `` in english and russian .	(ROOT (S (NP (NP (JJ portable) (@NP (NN highway) (NNS signs))) (SBAR (WHNP (WDT that)) (S (ADVP (RB normally)) (VP (VBP flash) (S (NP (NP (NNS messages)) (PP (IN like) (NP (`` ``) (@NP (@NP (@NP (@NP (NP (NN traffic) (NN delay)) ('' '')) (CC and)) (`` ``)) (NP (NN construction)))))) (NP (JJ next) (@NP (NN <num>) (NNS miles)))))))) (@S (`` ``) (@S (VP (VBD were) (VP (VBN reprogrammed) (S (VP (TO to) (VP (VB display) (NP (`` ``) (@NP (@NP (NP (JJ welcome) (@NP (NN president) (NN gorbachev))) (`` ``)) (PP (IN in) (NP (@NP (JJ english) (CC and)) (JJ russian)))))))))) (. .)))))
0	0	former vice president walter f. mondale approached the u.s. ambassador , matlock , and quietly asked him what to make of the recent election of boris n. yeltsin as president of the russian republic .	(ROOT (S (NP (NP (JJ former) (@NP (NN vice) (NN president))) (NP (NN walter) (@NP (NN f.) (NN mondale)))) (@S (VP (@VP (VP (VBD approached) (NP (@NP (@NP (NP (DT the) (@NP (JJ u.s.) (NN ambassador))) (, ,)) (NP (NN matlock))) (, ,))) (CC and)) (VP (ADVP (RB quietly)) (@VP (@VP (VBD asked) (NP (PRP him))) (SBAR (WHNP (WP what)) (S (VP (TO to) (VP (VB make) (PP (IN of) (NP (NP (DT the) (@NP (JJ recent) (NN election))) (PP (IN of) (NP (NP (FW boris) (@NP (FW n.) (NN yeltsin))) (PP (IN as) (NP (NP (NN president)) (PP (IN of) (NP (DT the) (@NP (JJ russian) (NN republic))))))))))))))))) (. .))))
0	0	<num> : <num> a.m. -- mikhail and raisa gorbachev have breakfast with former president ronald reagan at home of soviet consul general in san francisco .	(ROOT (S (NP (NNP <num>)) (@S (: :) (@S (S (VP (VB <num>) (ADVP (RB a.m.)))) (@S (: --) (@S (NP (NN mikhail) (@NP (CC and) (@NP (NN raisa) (NN gorbachev)))) (@S (VP (@VP (VBP have) (NP (NN breakfast))) (PP (IN with) (NP (NP (JJ former) (@NP (NN president) (@NP (NN ronald) (NN reagan)))) (PP (IN at) (NP (NP (NN home)) (PP (IN of) (NP (NP (JJ soviet) (@NP (NN consul) (NN general))) (PP (IN in) (NP (NN san) (NN francisco)))))))))) (. .))))))))
0	0	<num> : <num> a.m. -- gorbachevs depart for stanford university in palo alto .	(ROOT (S (NP (NNP <num>)) (@S (: :) (@S (S (VP (VB <num>) (ADVP (RB a.m.)))) (@S (: --) (@S (NP (NNS gorbachevs)) (@S (VP (VBP depart) (PP (IN for) (NP (NP (NN stanford) (NN university)) (PP (IN in) (NP (NN palo) (NN alto)))))) (. .))))))))
0	0	<num> : <num> a.m. -- gorbachevs tour stanford art museum .	(ROOT (NP (@NP (@NP (NP (NNP <num>)) (: :)) (NP (S (VP (VB <num>) (ADVP (RB a.m.)))) (@NP (: --) (NP (NP (NNS gorbachevs)) (NP (NN tour) (@NP (NN stanford) (@NP (NN art) (NN museum)))))))) (. .)))
0	0	noon -- gorbachev visits stanford school of business .	(ROOT (NP (@NP (@NP (NP (NN noon)) (: --)) (NP (NP (NN gorbachev) (NNS visits)) (NP (NP (JJ stanford) (NN school)) (PP (IN of) (NP (NN business)))))) (. .)))
0	0	<num> : <num> p.m. -- gorbachevs leave stanford to return to san francisco and consul general 's residence .	(ROOT (S (NP (NNP <num>)) (@S (: :) (@S (S (VP (VB <num>) (ADVP (RB p.m.)))) (@S (: --) (@S (NP (NNS gorbachevs)) (@S (VP (@VP (VBP leave) (NP (NN stanford))) (S (VP (TO to) (VP (VB return) (S (VP (TO to) (VP (VB san) (NP (NP (NP (NN francisco)) (@NP (CC and) (@NP (NN consul) (@NP (NN general) (POS 's))))) (NN residence))))))))) (. .))))))))
0	0	<num> p.m. -- gorbachevs return to consul general 's home for meeting with south korean president roh tae woo .	(ROOT (NP (@NP (@NP (NP (JJ <num>) (NN p.m.)) (: --)) (S (NP (NNS gorbachevs)) (VP (VBP return) (S (VP (TO to) (VP (NP (NP (NP (NN consul) (@NP (NN general) (POS 's))) (NN home)) (PP (IN for) (NP (NN meeting)))) (PP (IN with) (NP (JJ south) (@NP (JJ korean) (@NP (NN president) (@NP (NN roh) (NN tae)))))))) (VP (VB woo)))))) (. .)))
0	0	it appointed a commission to bargain with competing hospitals , and stanford university hospital was among those awarded contracts .	(ROOT (S (@S (@S (@S (S (NP (PRP it)) (VP (@VP (@VP (VBD appointed) (NP (DT a) (NN commission))) (PP (TO to) (NP (NN bargain)))) (PP (IN with) (NP (VBG competing) (NNS hospitals))))) (, ,)) (CC and)) (S (NP (NN stanford) (@NP (NN university) (NN hospital))) (VP (VBD was) (PP (IN among) (NP (NP (DT those)) (VP (VBN awarded) (NP (NNS contracts)))))))) (. .)))
0	0	at stanford hospital the number of medi-cal patients has been increasing <num> % annually since <num> , out of proportion to the number of fully paying patients .	(ROOT (S (PP (IN at) (NP (JJ stanford) (NN hospital))) (@S (NP (NP (DT the) (NN number)) (PP (IN of) (NP (JJ medi-cal) (NNS patients)))) (@S (VP (VBZ has) (VP (VBN been) (VP (@VP (@VP (@VP (@VP (VBG increasing) (NP (CD <num>) (NN %))) (ADVP (RB annually))) (PP (IN since) (NP (NN <num>)))) (, ,)) (PP (IN out) (@PP (IN of) (NP (NP (NN proportion)) (PP (TO to) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (ADJP (RB fully) (VBG paying)) (NNS patients))))))))))) (. .)))))
0	0	more than one-quarter of the indigent patients admitted to stanford come from outside santa clara county and neighboring san mateo county .	(ROOT (S (NP (NP (QP (JJR more) (@QP (IN than) (NN one-quarter)))) (PP (IN of) (NP (DT the) (@NP (JJ indigent) (NNS patients))))) (@S (VP (VBD admitted) (S (VP (TO to) (VP (VB stanford) (S (@S (S (VP (VBN come) (PP (IN from) (NP (JJ outside) (@NP (NN santa) (@NP (NN clara) (NN county))))))) (CC and)) (S (VP (VBG neighboring) (NP (JJ san) (@NP (NN mateo) (NN county)))))))))) (. .))))
